supplier_id,business_size,location_tier,owner_gender,years_active,on_time_delivery_rate,defect_rate,true_performance_score,ai_trust_score,contract_awarded
SUP-00420,0,1,1,15,73.06,3.26,17.71,13.66,0
SUP-00421,0,0,1,1,70.45,4.61,0.7,0.0,0
SUP-00422,1,0,0,3,91.48,1.04,74.47,67.66,0
SUP-00423,0,1,1,5,78.89,1.05,48.88,48.86,0
SUP-00424,1,1,1,17,81.05,0.1,61.5,61.36,0
SUP-00425,0,0,1,14,81.0,2.79,38.0,26.09,0
SUP-00426,0,0,0,9,78.72,4.99,14.17,0.0,0
SUP-00427,0,0,1,3,85.13,3.63,39.08,29.05,0
SUP-00428,0,0,1,13,84.06,1.89,52.05,38.82,0
SUP-00429,1,1,1,3,87.16,3.95,40.42,41.26,0
SUP-00430,1,0,1,11,92.61,3.52,55.22,48.93,0
SUP-00431,0,0,1,2,81.43,0.57,58.18,47.66,0
SUP-00432,0,1,1,15,78.79,4.18,21.41,20.77,0
SUP-00433,1,0,1,13,78.12,1.35,44.64,40.56,0
SUP-00434,1,0,1,19,84.03,0.67,62.57,57.84,0
SUP-00435,0,1,1,16,93.11,1.52,73.65,73.18,0
SUP-00436,1,0,1,18,95.74,2.11,73.86,67.85,0
SUP-00437,0,0,0,7,90.04,2.41,59.63,43.29,0
SUP-00438,0,0,1,13,78.09,1.8,40.67,29.78,0
SUP-00439,1,1,0,4,89.45,0.77,72.7,65.03,0
SUP-00440,1,1,1,9,89.45,3.43,49.57,48.37,0
SUP-00441,0,0,1,10,85.04,4.96,27.33,15.39,0
SUP-00442,0,1,1,9,86.85,4.0,39.32,38.12,0
SUP-00443,0,0,0,7,84.96,1.83,54.37,36.92,0
SUP-00444,0,0,1,15,87.9,1.6,62.34,53.57,0
SUP-00445,0,1,1,8,91.55,1.48,70.82,68.78,0
SUP-00446,0,0,1,19,75.08,1.12,40.53,23.9,0
SUP-00447,0,0,1,11,92.84,2.98,60.36,47.17,0
SUP-00448,0,1,1,5,74.44,3.22,20.86,20.21,0
SUP-00449,1,0,1,2,74.13,3.17,20.67,15.69,0
SUP-00450,0,0,1,10,99.31,3.56,68.45,56.99,0
SUP-00451,0,0,1,16,99.35,1.82,83.75,69.69,0
SUP-00452,0,0,1,13,73.05,1.99,28.82,14.47,0
SUP-00453,0,0,1,8,83.65,3.57,36.6,23.25,0
SUP-00454,1,0,1,9,78.3,1.57,43.09,37.78,0
SUP-00455,0,0,1,11,85.18,1.46,58.06,50.31,0
SUP-00456,1,0,1,11,97.18,1.68,80.46,79.57,1
SUP-00457,0,0,1,16,99.17,1.72,84.16,68.83,0
SUP-00458,1,1,0,10,91.39,0.4,79.92,71.06,0
SUP-00459,1,0,0,12,83.46,3.74,34.74,25.57,0
SUP-00460,1,1,0,6,90.1,3.84,47.32,46.14,0
SUP-00461,0,1,1,12,80.25,1.49,47.77,49.11,0
SUP-00462,0,1,1,10,97.38,0.79,88.67,88.6,1
SUP-00463,0,0,1,18,97.04,3.82,61.56,48.64,0
SUP-00464,0,0,1,18,87.99,1.45,63.82,53.98,0
SUP-00465,0,0,1,4,79.82,2.27,40.1,28.45,0
SUP-00466,1,0,0,9,81.41,0.29,60.58,55.05,0
SUP-00467,0,0,0,7,71.67,1.52,30.09,9.71,0
SUP-00468,1,0,0,18,97.46,3.57,64.64,56.49,0
SUP-00469,0,0,1,8,83.86,4.12,32.21,19.08,0
SUP-00470,1,1,1,11,82.53,0.93,57.26,58.09,0
SUP-00471,0,1,1,7,84.36,2.01,51.58,52.08,0
SUP-00472,1,0,1,9,96.64,0.6,88.79,85.81,1
SUP-00473,0,0,1,8,74.41,0.83,41.62,31.58,0
SUP-00474,0,1,1,3,95.17,4.96,47.83,50.61,0
SUP-00475,0,1,1,17,97.73,3.45,66.21,70.11,0
SUP-00476,1,0,1,2,99.65,2.44,78.93,74.96,0
SUP-00477,0,1,1,15,83.03,3.94,32.04,30.95,0
SUP-00478,0,0,0,14,77.7,4.28,18.28,0.0,0
SUP-00479,0,0,1,18,82.64,4.13,29.62,18.49,0
SUP-00480,0,0,0,16,81.25,0.57,57.78,42.45,0
SUP-00481,0,1,1,20,77.11,1.34,42.69,39.99,0
SUP-00482,0,0,1,4,88.01,3.45,46.49,36.78,0
SUP-00483,0,0,1,20,85.82,2.19,52.99,40.78,0
SUP-00484,0,0,1,6,95.71,4.92,49.29,34.78,0
SUP-00485,0,0,0,6,71.53,3.49,12.6,0.0,0
SUP-00486,1,1,1,11,91.77,4.3,46.67,44.78,0
SUP-00487,1,0,1,17,95.83,0.91,84.5,78.64,1
SUP-00488,0,0,1,3,92.33,4.39,47.07,36.21,0
SUP-00489,0,0,0,13,97.0,1.95,77.82,62.55,0
SUP-00490,0,1,1,3,91.44,4.95,40.35,43.75,0
SUP-00491,0,0,0,16,98.51,1.21,87.3,68.91,0
SUP-00492,1,0,1,15,83.15,2.32,46.4,43.08,0
SUP-00493,1,1,1,11,87.69,3.57,44.8,43.5,0
SUP-00494,0,1,1,18,72.21,2.45,23.1,23.14,0
SUP-00495,0,0,1,15,71.7,2.61,20.68,5.72,0
SUP-00496,0,1,1,5,77.46,4.94,12.08,9.83,0
SUP-00497,1,1,0,16,76.52,1.91,36.51,33.11,0
SUP-00498,0,1,1,16,79.15,3.22,30.48,27.51,0
SUP-00499,0,0,1,17,76.83,0.75,47.31,36.54,0
SUP-00500,0,0,1,9,71.73,4.29,6.07,0.0,0
SUP-00501,0,0,1,3,96.67,3.42,64.35,48.5,0
SUP-00502,0,1,1,20,72.24,2.32,24.28,19.2,0
SUP-00503,0,0,1,13,92.65,0.57,80.94,71.87,0
SUP-00504,0,0,1,3,74.71,3.16,21.95,6.14,0
SUP-00505,1,0,1,7,99.15,0.1,98.28,94.15,1
SUP-00506,0,0,1,6,96.49,0.51,89.34,78.05,1
SUP-00507,0,1,1,9,89.86,3.27,51.78,49.15,0
SUP-00508,0,0,1,12,90.69,1.35,70.2,57.1,0
SUP-00509,0,1,1,15,71.65,1.36,31.41,32.36,0
SUP-00510,0,0,1,20,100.0,3.44,70.92,59.51,0
SUP-00511,0,1,0,3,95.76,0.74,85.79,79.87,1
SUP-00512,0,1,0,10,96.96,1.91,78.06,73.53,0
SUP-00513,0,1,1,1,89.22,1.17,68.75,68.55,0
SUP-00514,1,0,1,19,83.9,2.61,45.42,39.48,0
SUP-00515,1,1,0,19,99.82,2.98,74.57,71.97,0
SUP-00516,0,0,0,13,79.75,3.75,27.12,10.54,0
SUP-00517,0,0,0,12,87.52,1.65,61.16,40.47,0
SUP-00518,0,1,1,1,72.99,0.9,38.15,39.19,0
SUP-00519,1,0,1,19,100.0,0.35,97.79,92.56,1
SUP-00520,0,1,0,16,75.68,2.42,30.41,24.83,0
SUP-00521,0,0,1,15,78.02,4.76,14.8,2.82,0
SUP-00522,0,0,1,16,87.79,1.48,63.17,49.58,0
SUP-00523,0,1,1,11,93.26,1.66,72.76,76.37,1
SUP-00524,0,1,1,6,88.56,0.95,69.32,66.34,0
SUP-00525,0,1,1,11,77.83,3.23,27.75,27.86,0
SUP-00526,0,0,1,3,70.33,3.56,9.59,0.0,0
SUP-00527,1,0,1,15,95.46,2.89,66.45,62.53,0
SUP-00528,1,0,1,1,100.0,3.88,67.13,62.75,0
SUP-00529,0,0,1,7,94.19,2.69,65.65,52.89,0
SUP-00530,0,1,1,1,83.45,1.11,57.61,56.01,0
SUP-00531,0,0,1,17,97.91,1.8,80.93,67.29,0
SUP-00532,0,0,1,9,82.79,3.48,35.58,25.9,0
SUP-00533,0,1,0,13,86.52,3.26,45.11,39.23,0
SUP-00534,0,1,1,11,84.94,2.89,45.1,49.37,0
SUP-00535,0,1,1,20,84.98,3.57,39.24,40.58,0
SUP-00536,0,0,1,6,93.08,3.37,57.48,40.15,0
SUP-00537,1,0,0,1,87.38,3.97,40.69,33.45,0
SUP-00538,0,1,1,7,79.88,3.14,32.68,32.58,0
SUP-00539,1,0,1,12,80.69,3.5,31.12,24.34,0
SUP-00540,0,1,1,20,73.09,1.62,32.1,34.71,0
SUP-00541,0,0,1,19,88.81,3.55,47.21,34.34,0
SUP-00542,1,1,0,17,80.37,4.06,25.63,19.59,0
SUP-00543,0,0,0,4,74.7,2.24,29.99,13.74,0
SUP-00544,0,0,1,3,89.26,4.01,44.17,34.45,0
SUP-00545,0,0,1,1,89.86,3.76,47.5,35.73,0
SUP-00546,1,0,1,18,95.61,0.27,89.62,85.71,1
SUP-00547,0,1,1,15,86.1,3.12,45.5,44.1,0
SUP-00548,0,1,1,8,96.73,1.09,84.77,87.02,1
SUP-00549,0,1,1,1,97.25,4.85,53.03,53.28,0
SUP-00550,0,1,1,20,95.41,4.15,55.4,54.95,0
SUP-00551,0,0,1,14,89.83,0.99,71.56,58.86,0
SUP-00552,0,1,0,4,79.21,1.05,49.5,46.55,0
SUP-00553,0,1,1,5,99.01,3.18,71.2,70.68,0
SUP-00554,0,0,0,13,79.25,2.05,40.84,25.9,0
SUP-00555,0,0,1,15,77.38,0.66,49.18,36.24,0
SUP-00556,1,0,1,6,85.42,2.44,50.03,47.47,0
SUP-00557,1,1,1,1,73.75,1.75,32.33,32.75,0
SUP-00558,0,1,1,19,100.0,0.95,92.56,90.65,1
SUP-00559,0,0,1,13,88.36,4.11,41.45,29.28,0
SUP-00560,0,1,1,6,86.75,4.62,33.74,29.36,0
SUP-00561,1,1,0,15,92.52,3.4,56.02,49.53,0
SUP-00562,1,0,1,16,88.01,3.7,44.29,37.13,0
SUP-00563,1,0,1,16,74.53,0.97,40.64,40.63,0
SUP-00564,0,0,0,10,88.76,1.69,63.35,43.21,0
SUP-00565,0,1,1,9,91.67,1.44,71.42,76.59,1
SUP-00566,0,1,1,9,82.99,3.94,31.97,33.0,0
SUP-00567,0,0,1,17,93.66,4.77,46.49,33.46,0
SUP-00568,0,1,0,17,78.28,3.73,24.3,20.92,0
SUP-00569,0,0,0,17,78.12,4.47,17.51,0.0,0
SUP-00570,0,0,0,12,75.88,3.37,22.48,2.67,0
SUP-00571,0,0,1,13,82.09,2.24,44.93,33.09,0
SUP-00572,0,1,0,12,95.76,2.42,71.23,67.63,0
SUP-00573,0,1,1,14,95.41,0.84,84.24,86.8,1
SUP-00574,0,0,1,10,82.1,0.64,58.92,47.91,0
SUP-00575,0,0,1,19,88.98,3.63,46.88,33.82,0
SUP-00576,1,0,1,2,93.1,1.97,69.68,68.45,0
SUP-00577,0,1,0,4,77.39,2.98,28.95,26.28,0
SUP-00578,0,1,0,19,76.78,3.01,27.48,23.02,0
SUP-00579,1,0,1,7,100.0,1.25,90.0,88.42,1
SUP-00580,0,0,1,15,89.41,2.64,56.35,48.72,0
SUP-00581,0,0,1,15,99.96,2.62,77.99,64.9,0
SUP-00582,0,1,0,6,80.39,2.25,41.46,34.66,0
SUP-00583,0,0,1,3,90.69,4.19,45.44,32.29,0
SUP-00584,0,0,1,6,77.06,2.53,32.22,17.52,0
SUP-00585,1,0,1,16,81.17,2.72,38.97,36.15,0
SUP-00586,1,0,1,2,87.05,4.03,39.46,32.24,0
SUP-00587,1,1,1,7,81.97,3.9,30.29,32.82,0
SUP-00588,1,0,0,11,77.96,4.01,21.2,10.86,0
SUP-00589,1,1,1,7,80.32,1.22,50.31,53.03,0
SUP-00590,1,0,1,4,73.44,0.16,45.53,36.41,0
SUP-00591,0,0,1,20,92.43,1.67,70.9,58.13,0
SUP-00592,1,1,1,7,86.97,1.25,63.48,60.89,0
SUP-00593,0,0,0,4,73.13,4.59,6.3,0.0,0
SUP-00594,0,1,1,12,76.18,3.42,22.68,26.04,0
SUP-00595,0,0,1,5,73.47,0.87,39.42,22.73,0
SUP-00596,0,0,1,19,89.67,1.11,70.21,59.95,0
SUP-00597,1,1,1,5,75.23,0.7,44.45,46.58,0
SUP-00598,1,1,1,19,95.77,2.84,67.58,68.23,0
SUP-00599,1,0,1,3,72.89,3.31,16.98,14.16,0
SUP-00600,1,1,1,11,80.33,3.87,27.22,28.26,0
SUP-00601,1,0,1,7,98.53,4.23,61.02,58.76,0
SUP-00602,1,0,1,17,94.54,0.91,81.87,75.68,1
SUP-00603,1,0,1,9,75.02,1.39,37.97,36.37,0
SUP-00604,1,1,1,9,96.71,1.08,84.77,85.19,1
SUP-00605,0,0,1,10,85.3,2.11,52.59,40.89,0
SUP-00606,1,0,0,13,97.86,4.12,60.68,52.81,0
SUP-00607,0,1,0,15,88.92,3.09,51.47,43.93,0
SUP-00608,0,0,1,5,90.27,3.82,47.83,32.72,0
SUP-00609,0,0,1,3,99.11,2.71,75.51,63.26,0
SUP-00610,1,0,1,8,79.54,0.13,58.16,57.25,0
SUP-00611,0,1,1,20,90.09,0.79,73.88,71.5,0
SUP-00612,0,0,0,10,84.35,2.92,43.64,26.99,0
SUP-00613,1,1,1,13,74.44,3.23,20.78,19.35,0
SUP-00614,0,1,1,3,70.72,1.47,28.59,26.89,0
SUP-00615,0,0,0,8,74.26,3.75,15.93,0.0,0
SUP-00616,1,0,0,9,91.72,3.65,52.29,44.81,0
SUP-00617,1,1,1,12,89.65,1.85,63.7,62.12,0
SUP-00618,0,1,1,11,87.15,3.86,41.16,43.93,0
SUP-00619,0,1,1,2,71.12,2.32,22.01,22.86,0
SUP-00620,1,1,1,18,87.41,3.05,48.71,48.23,0
SUP-00621,1,1,0,9,99.71,3.44,70.35,66.05,0
SUP-00622,0,1,0,2,81.73,4.96,20.53,19.6,0
SUP-00623,0,0,0,2,88.32,2.05,59.26,43.76,0
SUP-00624,0,0,1,3,92.91,2.35,66.01,52.62,0
SUP-00625,0,0,0,16,94.33,1.25,78.51,61.48,0
SUP-00626,0,0,1,19,86.96,1.42,62.02,50.29,0
SUP-00627,0,1,1,4,95.28,3.62,59.76,61.09,0
SUP-00628,1,0,1,18,85.15,4.13,34.76,31.24,0
SUP-00629,1,0,1,20,99.77,1.78,84.95,84.74,1
SUP-00630,0,0,0,18,78.77,1.31,46.33,28.87,0
SUP-00631,0,0,1,10,79.13,1.78,42.93,27.47,0
SUP-00632,0,0,1,11,72.64,2.55,23.1,11.53,0
SUP-00633,0,0,1,17,94.77,1.81,74.51,61.62,0
SUP-00634,1,1,1,20,86.09,1.05,63.46,60.46,0
SUP-00635,0,0,1,16,78.24,3.81,23.47,10.07,0
SUP-00636,0,0,1,20,78.72,0.54,52.98,40.26,0
SUP-00637,1,0,0,13,99.44,2.43,78.6,71.88,0
SUP-00638,1,0,1,2,96.38,3.57,62.42,55.45,0
SUP-00639,0,1,1,2,86.25,1.7,58.15,58.85,0
SUP-00640,1,1,1,14,91.27,2.71,59.49,63.93,0
SUP-00641,0,0,0,4,84.16,3.51,38.11,20.76,0
SUP-00642,1,0,1,17,85.06,2.95,44.85,40.44,0
SUP-00643,0,0,1,13,97.85,2.51,74.68,64.12,0
SUP-00644,1,1,1,4,76.04,1.56,38.61,39.66,0
SUP-00645,0,1,1,3,82.43,4.26,28.07,30.91,0
SUP-00646,0,0,1,12,81.19,3.91,28.58,16.25,0
SUP-00647,0,0,1,8,85.25,1.95,53.95,43.36,0
SUP-00648,0,0,1,2,83.47,0.96,58.9,48.33,0
SUP-00649,0,0,1,6,85.65,0.82,64.54,51.87,0
SUP-00650,1,0,1,10,77.06,0.42,50.56,46.33,0
SUP-00651,0,1,1,12,86.08,3.12,45.4,45.37,0
SUP-00652,0,0,1,10,78.03,0.73,49.85,35.38,0
SUP-00653,0,0,1,10,76.35,2.02,35.25,22.48,0
SUP-00654,0,0,1,3,72.18,3.89,10.48,1.47,0
SUP-00655,1,0,1,20,96.12,1.32,81.45,79.52,1
SUP-00656,1,0,1,10,85.4,3.43,41.29,36.13,0
SUP-00657,0,1,0,9,89.07,3.85,45.1,40.07,0
SUP-00658,0,0,0,20,93.1,1.61,72.87,57.81,0
SUP-00659,0,1,1,19,91.6,3.78,50.89,51.78,0
SUP-00660,0,0,1,14,85.04,3.86,36.83,26.43,0
SUP-00661,0,1,1,2,81.45,2.29,43.25,44.32,0
SUP-00662,0,1,0,5,81.4,1.45,50.49,45.92,0
SUP-00663,1,0,1,20,92.56,2.35,65.33,61.0,0
SUP-00664,1,1,1,8,87.15,4.15,38.66,36.27,0
SUP-00665,1,0,0,7,97.32,2.88,70.37,62.76,0
SUP-00666,1,0,1,6,97.97,0.78,89.96,85.52,1
SUP-00667,1,1,0,11,78.05,3.07,29.51,21.22,0
SUP-00668,1,0,1,12,77.15,1.92,37.71,32.61,0
SUP-00669,1,0,1,18,92.08,2.66,61.6,59.31,0
SUP-00670,1,0,0,19,82.64,3.3,36.83,23.99,0
SUP-00671,0,1,1,10,71.54,2.82,18.51,16.45,0
SUP-00672,1,1,1,14,99.17,3.66,67.29,67.56,0
SUP-00673,0,1,1,3,76.88,3.75,21.24,24.06,0
SUP-00674,0,1,0,18,98.75,3.27,69.87,66.87,0
SUP-00675,0,1,1,15,92.31,1.18,74.97,77.98,1
SUP-00676,1,0,1,6,94.72,3.76,57.38,53.8,0
SUP-00677,0,0,1,10,76.84,4.71,12.79,0.37,0
SUP-00678,0,0,1,12,77.99,1.12,46.43,36.12,0
SUP-00679,0,0,1,7,85.82,2.7,48.57,34.77,0
SUP-00680,0,1,1,17,76.69,1.66,39.01,37.06,0
SUP-00681,1,1,1,1,80.96,3.4,32.61,30.3,0
SUP-00682,1,1,0,18,83.12,3.25,38.3,35.48,0
SUP-00683,0,1,1,15,76.13,1.13,42.5,40.83,0
SUP-00684,0,0,1,19,77.85,4.45,17.15,7.15,0
SUP-00685,0,0,0,1,92.97,1.31,75.14,58.43,0
SUP-00686,0,1,1,5,75.35,4.09,15.19,17.39,0
SUP-00687,1,1,0,15,74.33,2.06,30.8,23.59,0
SUP-00688,0,0,1,3,88.55,1.98,60.39,47.14,0
SUP-00689,1,0,1,1,100.0,0.71,94.67,91.58,1
SUP-00690,0,1,1,8,80.41,1.25,50.14,49.27,0
SUP-00691,0,0,1,12,74.64,3.48,19.06,2.07,0
SUP-00692,0,0,1,19,88.44,2.98,51.46,36.72,0
SUP-00693,1,1,1,12,99.48,0.55,95.04,92.81,1
SUP-00694,1,1,0,13,96.04,0.51,88.4,81.33,1
SUP-00695,0,0,1,1,88.15,0.83,69.61,58.98,0
SUP-00696,1,0,1,19,83.04,3.35,37.26,33.93,0
SUP-00697,0,0,1,6,86.31,3.7,40.82,29.14,0
SUP-00698,1,1,0,8,75.45,0.26,48.69,47.71,0
SUP-00699,0,1,1,4,90.09,3.02,54.43,56.78,0
SUP-00700,0,0,1,5,91.53,0.88,75.98,65.59,0
SUP-00701,1,0,1,7,100.0,4.07,65.46,58.47,0
SUP-00702,0,1,1,4,77.95,4.58,16.17,16.29,0
SUP-00703,1,0,1,20,74.54,3.14,21.77,18.37,0
SUP-00704,1,0,0,4,88.22,4.17,40.65,30.82,0
SUP-00705,0,0,1,15,92.0,4.15,48.46,39.87,0
SUP-00706,0,0,0,5,93.42,4.23,50.69,33.79,0
SUP-00707,0,0,1,9,76.52,3.06,26.48,12.03,0
SUP-00708,1,0,1,2,79.79,1.38,47.82,41.82,0
SUP-00709,0,0,0,7,85.57,1.48,58.65,46.22,0
SUP-00710,0,1,1,17,81.29,1.97,45.68,44.84,0
SUP-00711,0,0,0,16,96.55,3.33,64.89,43.73,0
SUP-00712,0,1,1,17,85.44,1.28,60.17,58.97,0
SUP-00713,0,0,0,20,95.19,1.66,76.6,55.95,0
SUP-00714,0,1,1,2,87.04,2.61,51.84,53.67,0
SUP-00715,0,1,1,11,93.52,1.55,74.22,70.31,0
SUP-00716,0,1,1,2,79.85,3.15,32.51,29.7,0
SUP-00717,0,1,1,1,94.21,4.65,48.58,48.59,0
SUP-00718,1,0,1,2,80.16,3.37,31.25,29.47,0
SUP-00719,0,0,1,9,86.74,3.5,43.45,31.32,0
SUP-00720,0,0,1,2,76.41,3.12,25.75,11.23,0
SUP-00721,1,1,1,15,87.29,2.2,55.93,56.29,0
SUP-00722,1,1,0,10,82.23,0.84,57.45,51.51,0
SUP-00723,0,1,1,15,79.23,4.53,19.27,21.53,0
SUP-00724,0,1,1,10,99.04,1.62,84.83,86.54,1
SUP-00725,0,0,1,17,76.34,0.91,44.87,31.8,0
SUP-00726,1,1,1,9,95.73,3.38,62.81,64.37,0
SUP-00727,0,1,1,18,100.0,1.29,89.64,90.18,1
SUP-00728,1,1,1,4,72.98,1.67,31.39,34.13,0
SUP-00729,1,1,0,9,93.17,0.13,85.89,82.36,1
SUP-00730,1,0,0,16,80.93,0.62,56.76,48.86,0
SUP-00731,0,0,1,4,71.57,1.28,31.97,22.63,0
SUP-00732,0,1,1,16,83.28,0.74,60.42,60.45,0
SUP-00733,0,1,1,19,99.02,3.45,68.8,67.25,0
SUP-00734,0,1,1,1,70.44,4.27,3.66,4.06,0
SUP-00735,0,1,1,6,87.65,2.18,56.79,56.08,0
SUP-00736,0,1,1,10,85.54,4.44,32.87,34.08,0
SUP-00737,0,0,1,16,96.93,1.46,81.92,70.04,0
SUP-00738,0,0,1,4,72.84,1.96,28.57,17.38,0
SUP-00739,0,0,1,13,91.06,1.18,72.45,58.05,0
SUP-00740,0,0,0,16,91.32,3.29,54.57,38.59,0
SUP-00741,0,0,1,20,91.4,2.39,62.6,48.03,0
SUP-00742,0,0,0,6,97.93,3.26,68.27,53.2,0
SUP-00743,0,0,0,11,94.97,3.93,56.45,41.38,0
SUP-00744,1,0,1,3,73.52,2.46,25.68,22.38,0
SUP-00745,0,1,1,20,85.66,3.32,42.79,43.41,0
SUP-00746,0,0,1,10,82.54,4.71,24.4,11.95,0
SUP-00747,0,0,0,1,79.09,1.85,42.32,24.12,0
SUP-00748,0,0,0,20,85.09,2.12,52.15,35.12,0
SUP-00749,0,0,1,11,82.24,3.73,32.31,24.28,0
SUP-00750,1,0,1,12,85.74,2.75,47.94,44.4,0
SUP-00751,0,1,0,14,99.8,1.3,89.11,81.42,1
SUP-00752,0,0,1,8,73.37,2.19,27.67,12.25,0
SUP-00753,0,1,0,11,97.84,2.61,73.81,65.93,0
SUP-00754,1,1,0,4,86.33,1.89,56.66,50.9,0
SUP-00755,0,1,1,7,88.79,1.3,66.75,69.28,0
SUP-00756,0,0,1,10,95.08,4.66,50.29,36.24,0
SUP-00757,0,1,1,19,82.35,3.93,30.79,33.63,0
SUP-00758,0,1,1,4,82.88,2.67,42.88,43.23,0
SUP-00759,0,0,1,2,82.08,3.56,33.45,22.42,0
SUP-00760,1,1,0,18,84.67,4.04,34.56,30.47,0
SUP-00761,0,0,0,14,98.24,1.11,87.61,71.79,0
SUP-00762,1,0,0,16,97.64,1.13,86.26,76.44,1
SUP-00763,0,1,1,11,74.26,2.94,22.95,18.29,0
SUP-00764,1,0,0,10,76.14,3.6,21.07,10.9,0
SUP-00765,0,1,1,17,84.11,0.66,62.81,61.03,0
SUP-00766,0,0,1,14,74.26,4.93,5.66,0.0,0
SUP-00767,0,0,1,4,88.35,2.55,55.03,43.47,0
SUP-00768,0,0,1,19,76.07,2.12,33.81,21.27,0
SUP-00769,0,0,0,2,85.35,1.82,55.28,41.79,0
SUP-00770,1,1,1,7,72.91,0.78,39.0,37.71,0
SUP-00771,0,1,1,9,80.08,4.06,25.03,20.58,0
SUP-00772,1,0,1,19,93.54,4.3,50.3,46.54,0
SUP-00773,0,0,1,16,85.64,2.36,51.13,41.5,0
SUP-00774,0,0,1,16,99.97,4.79,59.14,47.71,0
SUP-00775,1,0,1,18,99.15,3.71,66.86,62.15,0
SUP-00776,1,0,1,11,83.51,2.16,48.52,45.0,0
SUP-00777,0,0,1,7,72.02,3.53,13.25,4.93,0
SUP-00778,0,1,0,9,95.42,2.46,70.17,63.42,0
SUP-00779,0,0,1,4,96.83,3.01,68.17,56.24,0
SUP-00780,0,0,1,13,95.1,0.76,84.28,73.62,0
SUP-00781,0,1,1,4,74.11,3.63,16.63,17.14,0
SUP-00782,1,0,1,19,100.0,0.24,98.8,94.31,1
SUP-00783,0,0,1,2,77.7,4.18,19.19,6.34,0
SUP-00784,1,0,1,9,93.9,3.71,56.16,51.58,0
SUP-00785,0,1,0,12,97.53,1.57,82.21,78.28,1
SUP-00786,0,1,1,2,77.03,1.96,37.17,38.12,0
SUP-00787,0,0,0,6,96.94,2.67,71.44,58.63,0
SUP-00788,0,0,0,5,79.47,3.18,31.43,11.36,0
SUP-00789,0,1,1,5,98.82,1.79,82.85,86.37,1
SUP-00790,1,1,1,20,82.16,2.67,41.4,40.99,0
SUP-00791,0,0,1,5,98.15,1.84,81.09,68.91,0
SUP-00792,0,1,0,4,71.95,0.75,37.36,34.07,0
SUP-00793,0,0,0,9,91.47,0.51,79.08,63.79,0
SUP-00794,1,0,1,10,88.43,0.46,73.4,71.71,0
SUP-00795,0,1,0,16,85.46,4.07,35.93,33.68,0
SUP-00796,0,0,1,10,77.48,4.83,13.09,1.01,0
SUP-00797,0,1,0,10,91.46,2.42,62.44,60.21,0
SUP-00798,0,1,0,19,77.43,2.81,30.58,24.32,0
SUP-00799,0,0,1,10,87.03,1.16,64.42,51.8,0
SUP-00800,0,0,1,6,77.94,2.98,30.11,17.75,0
SUP-00801,1,0,1,17,100.0,0.65,95.2,90.15,1
SUP-00802,0,0,1,5,71.33,3.25,14.32,2.44,0
SUP-00803,0,1,0,6,76.39,4.7,11.98,8.77,0
SUP-00804,0,1,1,15,78.53,1.38,45.22,46.52,0
SUP-00805,0,1,1,19,83.91,3.94,33.86,32.64,0
SUP-00806,0,1,1,18,78.55,0.61,52.01,50.62,0
SUP-00807,0,1,0,4,84.65,2.19,50.61,43.9,0
SUP-00808,0,1,1,8,96.1,1.0,84.26,84.43,1
SUP-00809,1,0,1,16,94.25,1.59,75.38,68.21,0
SUP-00810,0,0,1,19,88.72,1.28,66.8,53.01,0
SUP-00811,0,0,0,20,74.58,2.18,30.24,12.33,0
SUP-00812,1,0,0,3,92.43,1.88,69.12,62.23,0
SUP-00813,0,1,1,10,75.83,1.85,35.62,35.36,0
SUP-00814,0,1,1,2,93.0,3.45,56.57,58.59,0
SUP-00815,0,0,1,4,77.65,4.63,15.1,3.48,0
SUP-00816,0,0,1,6,82.69,2.3,45.66,32.71,0
SUP-00817,0,1,1,11,81.26,1.37,50.91,50.05,0
SUP-00818,1,0,0,14,98.31,1.22,86.82,75.49,1
SUP-00819,0,0,1,16,75.27,4.34,12.81,5.61,0
SUP-00820,0,0,0,19,88.3,3.07,50.35,35.57,0
SUP-00821,1,1,1,2,76.32,2.05,34.93,36.14,0
SUP-00822,0,0,1,17,92.14,1.17,74.68,60.07,0
SUP-00823,0,0,1,9,97.15,2.52,73.1,60.19,0
SUP-00824,0,0,1,17,84.3,1.75,53.71,39.76,0
SUP-00825,0,0,1,15,85.65,4.74,30.41,18.67,0
SUP-00826,0,0,1,7,97.6,4.48,56.99,43.13,0
SUP-00827,0,0,1,19,87.01,0.88,66.83,53.49,0
SUP-00828,0,1,1,3,84.44,2.82,44.66,42.86,0
SUP-00829,0,0,1,1,86.87,1.51,61.02,48.54,0
SUP-00830,1,0,0,4,92.39,1.85,69.31,60.45,0
SUP-00831,0,0,1,18,74.9,4.45,11.16,0.0,0
SUP-00832,1,1,0,8,96.61,2.37,73.32,71.38,0
SUP-00833,1,1,1,19,86.53,1.5,60.41,62.03,0
SUP-00834,0,0,0,6,72.7,1.44,32.9,14.33,0
SUP-00835,0,0,1,1,92.9,4.1,50.73,39.38,0
SUP-00836,0,0,0,8,81.73,3.31,34.93,16.53,0
SUP-00837,0,0,1,1,73.01,2.61,23.34,10.55,0
SUP-00838,0,0,1,19,90.28,1.48,68.24,57.2,0
SUP-00839,0,0,1,11,96.62,2.0,76.56,65.89,0
SUP-00840,1,0,1,15,99.24,4.32,61.73,56.55,0
SUP-00841,0,0,1,11,98.87,2.84,73.85,59.64,0
